company,perks
Jobs Flash Consulting Services,Certificate
Jobs Flash Consulting Services,Letter of recommendation
Jobs Flash Consulting Services,Informal dress code
Rigil Biotech Private Limited,Certificate
Rigil Biotech Private Limited,Letter of recommendation
Rigil Biotech Private Limited,Flexible work hours
Rigil Biotech Private Limited,Informal dress code
Rigil Biotech Private Limited,5 days a week
Global Headhunters,Certificate
Global Headhunters,Letter of recommendation
Global Headhunters,Flexible work hours
Global Headhunters,Job offer
Times Internet,Certificate
Decathlon Sports,Certificate
Decathlon Sports,Letter of recommendation
Decathlon Sports,Informal dress code
Decathlon Sports,5 days a week
BookMyShow,Certificate
BookMyShow,Informal dress code
BookMyShow,5 days a week
Fabindia Overseas Private Limited,Certificate
Fabindia Overseas Private Limited,Informal dress code
Larsen & Toubro,Certificate
Larsen & Toubro,Letter of recommendation
Larsen & Toubro,Free snacks & beverages
Decathlon Sports India,Certificate
Decathlon Sports India,Flexible work hours
Decathlon Sports India,Informal dress code
DCB Bank,Certificate
Canara HSBC Life Insurance,Certificate
Canara HSBC Life Insurance,Flexible work hours
Canara HSBC Life Insurance,Informal dress code
Canara HSBC Life Insurance,5 days a week
Decathlon Sports India,Certificate
Decathlon Sports India,Letter of recommendation
Decathlon Sports India,Flexible work hours
Decathlon Sports India,Informal dress code
Decathlon Sports India,5 days a week
EazyDiner,
Decathlon,Flexible work hours
Decathlon,5 days a week
HCL Technologies,Certificate
Nykaa,Letter of recommendation
Nykaa,5 days a week
Times Internet,Certificate
Times Internet,Letter of recommendation
Times Internet,Flexible work hours
Times Internet,Informal dress code
IIT Bombay,Certificate
IIT Bombay,Letter of recommendation
IIT Bombay,Flexible work hours
IIT Bombay,5 days a week
Amar Ujala,Certificate
Amar Ujala,Letter of recommendation
Amar Ujala,Flexible work hours
Amar Ujala,Informal dress code
Bagzone Lifestyles Private Limited,Certificate
Bagzone Lifestyles Private Limited,5 days a week
IIT Bombay,Certificate
IIT Bombay,Letter of recommendation
IIT Bombay,Flexible work hours
IIT Bombay,5 days a week
BigBasket,Certificate
BigBasket,Certificate
BigBasket,Certificate
Nykaa Fashion,Certificate
Nykaa Fashion,Informal dress code
Nykaa Fashion,5 days a week
Sportskeeda,Certificate
Sportskeeda,5 days a week
Decathlon,Certificate
Decathlon,Letter of recommendation
Decathlon,Flexible work hours
Decathlon,Informal dress code
