company,skills
Jobs Flash Consulting Services,English Proficiency (Spoken)
Jobs Flash Consulting Services,English Proficiency (Written)
Jobs Flash Consulting Services,MS-Excel
Jobs Flash Consulting Services,MS-Office
Jobs Flash Consulting Services,MS-Word
Rigil Biotech Private Limited,Amazon Web Services (AWS)
Rigil Biotech Private Limited,Digital Marketing
Rigil Biotech Private Limited,Social Media Marketing
Global Headhunters,English Proficiency (Spoken)
Global Headhunters,English Proficiency (Written)
Global Headhunters,Recruitment
Times Internet,
Decathlon Sports,
BookMyShow,Accounting
BookMyShow,English Proficiency (Spoken)
BookMyShow,English Proficiency (Written)
BookMyShow,Financial Modeling
BookMyShow,MS-Excel
BookMyShow,Tally
Fabindia Overseas Private Limited,English Proficiency (Spoken)
Fabindia Overseas Private Limited,English Proficiency (Written)
Fabindia Overseas Private Limited,MS-Excel
Larsen & Toubro,
Decathlon Sports India,English Proficiency (Spoken)
Decathlon Sports India,English Proficiency (Written)
Decathlon Sports India,MS-Office
DCB Bank,
Canara HSBC Life Insurance,English Proficiency (Spoken)
Canara HSBC Life Insurance,English Proficiency (Written)
Canara HSBC Life Insurance,MS-Excel
Canara HSBC Life Insurance,MS-Office
Canara HSBC Life Insurance,MS-Word
Decathlon Sports India,
EazyDiner,Digital Marketing
EazyDiner,Email Marketing
Decathlon,Business Analysis
Decathlon,MS-Excel
HCL Technologies,
Nykaa,Creative Writing
Nykaa,Instagram Marketing
Nykaa,Social Media Marketing
Times Internet,English Proficiency (Spoken)
Times Internet,MS-Excel
IIT Bombay,Deep Learning
IIT Bombay,English Proficiency (Spoken)
IIT Bombay,English Proficiency (Written)
IIT Bombay,Image Processing
IIT Bombay,Machine Learning
IIT Bombay,Neural Networks
IIT Bombay,OpenCV
Amar Ujala,Creative Writing
Amar Ujala,English Proficiency (Spoken)
Bagzone Lifestyles Private Limited,
IIT Bombay,Bootstrap
IIT Bombay,Cloud Computing
IIT Bombay,CSS
IIT Bombay,Django
IIT Bombay,HTML
IIT Bombay,JavaScript
IIT Bombay,Nginx
IIT Bombay,PostgreSQL
IIT Bombay,Postman
IIT Bombay,Python
BigBasket,
BigBasket,
BigBasket,
Nykaa Fashion,English Proficiency (Written)
Nykaa Fashion,MS-Excel
Nykaa Fashion,MS-Word
Sportskeeda,Content Marketing
Sportskeeda,Content Writing
Sportskeeda,Social Media Marketing
Decathlon,Adobe After Effects
Decathlon,Adobe Illustrator
Decathlon,Adobe Photoshop
Decathlon,Adobe Premiere Pro
Decathlon,Final Cut Pro
Decathlon,Video Editing
Decathlon,Video Making
"RP Sanjiv Goenka Group (Open, HELLO! India, & Fortune India)",Adobe After Effects
"RP Sanjiv Goenka Group (Open, HELLO! India, & Fortune India)",Adobe Illustrator
"RP Sanjiv Goenka Group (Open, HELLO! India, & Fortune India)",Adobe Indesign
"RP Sanjiv Goenka Group (Open, HELLO! India, & Fortune India)",Adobe Photoshop
"RP Sanjiv Goenka Group (Open, HELLO! India, & Fortune India)",Video Editing
PVR Limited,Creative Writing
PVR Limited,Digital Marketing
PVR Limited,English Proficiency (Written)
PVR Limited,Search Engine Marketing (SEM)
PVR Limited,Search Engine Optimization (SEO)
PVR Limited,Social Media Marketing
Decathlon Sport India Private Limited,English Proficiency (Spoken)
Decathlon Sport India Private Limited,English Proficiency (Written)
Decathlon Sport India Private Limited,MS-Excel
SBI Funds Management Limited,
Hungama Digital Media Entertainment Private Limited,English Proficiency (Spoken)
Hungama Digital Media Entertainment Private Limited,English Proficiency (Written)
Hungama Digital Media Entertainment Private Limited,MS-Excel
Hungama Digital Media Entertainment Private Limited,Social Media Marketing
Decathlon,
Hungama Digital Media Entertainment Private Limited,
Hungama Digital Media Entertainment Private Limited,Adobe Photoshop
Hungama Digital Media Entertainment Private Limited,Adobe Premiere Pro
Hungama Digital Media Entertainment Private Limited,Canva
Hungama Digital Media Entertainment Private Limited,English Proficiency (Spoken)
Hungama Digital Media Entertainment Private Limited,English Proficiency (Written)
Hungama Digital Media Entertainment Private Limited,Final Cut Pro
Hungama Digital Media Entertainment Private Limited,Vector Dynamics
IIT Bombay,Cloud Computing
IIT Bombay,DevOps
IIT Bombay,Firebase
IIT Bombay,Google Cloud Computing
IIT Bombay,MongoDB
IIT Bombay,Node.js
IIT Bombay,NoSQL
IIT Bombay,ReactJS
IIT Bombay,React Native
IIT Bombay,Redux
IIT Bombay,REST API
IIT Bombay,SQL
HT Media,Copywriting
HT Media,Creative Writing
PVR Limited,MS-Excel
PVR Limited,MS-Office
Dainik Jagran INEXT,English Proficiency (Spoken)
Dainik Jagran INEXT,MS-Excel
BYJUS The Learning App,English Proficiency (Spoken)
BYJUS The Learning App,Hindi Proficiency (Spoken)
Thomas Cook India Limited,English Proficiency (Spoken)
Thomas Cook India Limited,MS-Excel
Nykaa Fashion,English Proficiency (Spoken)
Nykaa Fashion,English Proficiency (Written)
Nykaa Fashion,MS-Excel
Nykaa Fashion,MS-Office
Sportskeeda,Recruitment
